Accession Number,Author,Title,Publisher,Year,Branch,Subject,Shelf,Stack
704,"Husain, Ashfaq",Electrical Machines,Dhanpat Rai & Co. (P) Ltd.,2010,Applied Science & Engineering,Electronics Engineering,A,14
705,"Chakrabarti, P. K.",Geometrical and Physical Optics,New Central Book Agency (P) Ltd.,2009,Applied Science & Engineering,Optics,H,15
707,"Greenberg, Michael D.",Advanced Engineering Mathematics,Pearson Education,1998,Applied Science & Engineering,Mathematics,I,3
721,"Kreyszig, Erwin",Advanced Engineering Mathematics,Wiley India Pvt. Ltd.,2009,Applied Science & Engineering,Mathematics,I,3
771,"O'Neil, Peter V.",Advanced Engineering Mathematics,Cengage Learning,2007,Applied Science & Engineering,Mathematics,I,3
821,"Khopkar, S. M.",Basic Concepts of Analytical Chemistry,New Age International Publishers,2011,Applied Science & Engineering,Chemistry,H,6
826,"E. H. McGrath, S. J.",Basic Managerial Skills for All,Prentice Hall of India,2009,Applied Science & Engineering,Management,I,19
856,"Chang, Raymond",Chemistry,Tata McGraw-Hill Education Private Limited,2010,Applied Science & Engineering,Chemistry,H,6
906,"Sinha, Pradeep K. and Sinha, Priti",Computer Fundamentals,BPB Publications,2010,Computer,Computer Science,E,20
940,"Forouzan, Behrouz A. ; Gilberg, Richard F. and Apsangi, Minal and Jain, B.Y.",Computer Science A Structured Programming Approach Using C,Cengage Learning,2011,Computer,Computer Science,E,20
990,"Beiser, Arthur; Mahajan, Shobhit, and Choudhury, S. Rai",Concepts of Modern Physics,Tata McGraw-Hill Education Private Limited,2010,Applied Science & Engineering,Physics,H,13
992,"Bhandari, V. B.",Design of Machine Elements,Tata McGraw-Hill Education Private Limited,2010,Applied Science & Engineering,Machine Design,H,38
994,"Leach, Donald P.; Malvino, Albert,  and Saha, Goutam",Digital Principles and Applications,Tata McGraw-Hill Education Private Limited,2011,E & TC,Digital Electronics,A,10
1034,"Meriam, J. L. and  Kraige, L. G.",Engineering Mechanics Dynamics Vol 2,Wiley India Pvt. Ltd.,2004,Applied Science & Engineering,Engineering Mechanics,H,33
1039,"Rizvi, M. Ashraf",Effective Technical Communication,Tata McGraw-Hill Education Private Limited,2005,Applied Science & Engineering,Communication,H,46
1079,"Hughes, Edward",Electrical and Electronic Technology,Pearson Education,2011,E & TC,Electrical Technology,A,19
1084,"Toro, Vincent Del",Electrical Engineering Fundamentals,Prentice Hall of India,1986,E & TC,Electrical Engineering,A,17
1089,"Cotton, H.",Electrical Technology,CBS Publishers & Distributors Pvt. Ltd.,2005,E & TC,Electrical Technology,A,19
1094,"Mottershead, Allen",Electronic Devices and Circuits An Introduction,Prentice Hall of India,2010,E & TC,Electronic Devices,A,6
1124,"Floyd, Thomas L.",Electronic Devices,Pearson Education,2011,E & TC,Electronic Devices,A,6
1144,"Jolhe, Dhananjay A.",Engineering Drawing With an Introduction to Auto Cad,Tata McGraw-Hill Education Private Limited,2008,Applied Science & Engineering,Engineering Drawing,H,19
1187,"Shames, Irving H. and Rao, G. Krishna Mohana",Engineering Mechanics Statics and Dynamics,Pearson Education,2009,Applied Science & Engineering,Engineering Mechanics,H,33
1197,"Hibbler, R. C. and Gupta, Ashok ",Engineering Mechanics Statics & Dynamics,Pearson Education,2009,Applied Science & Engineering,Engineering Mechanics,H,33
1267,"Timoshenko, S. and  Young, D. H. ",Engineering Mechanics,Tata McGraw-Hill Education Private Limited,2007,Applied Science & Engineering,Engineering Mechanics,H,33
1277,"Boresi, Arthur and Schmidt, Richard  J. ",Engineering Mechanics Statics,Cengage Learning,2005,Applied Science & Engineering,Engineering Mechanics,H,33
1289,"Nag, P. K.",Engineering Thermodynamics,Tata McGraw-Hill Education Private Limited,2008,Applied Science & Engineering,Thermodynamics,H,43
1359,"Manjunath, D. L. ",Environmental Studies,Pearson Education,2007,Applied Science & Engineering,Environmental Science,I,19
1389,"Singh, S. K.",Fundamentals of Engineering Chemistry Theory & Practice,"New Age International Ltd, Publication ",2005,Applied Science & Engineering,Chemistry,H,6
1394,"Luzadder, Warren J. and Duff, Jon M. ",Fundamentals of Engineering Drawing,Prentice Hall of India,1993,Applied Science & Engineering,Engineering Drawing,H,19
1404,"Halliday, Resnick and Walker, Jearl",Fundamentals of Physics,John Wiley & Sons,2008,Applied Science & Engineering,Physics,H,13
1406,"Ramana, B. V. ",Higher Engineering Mathematics,Tata McGraw-Hill Education Private Limited,2008,Applied Science & Engineering,Mathematics,I,3
1440,"Kittel, Charles ",Introduction to Solid State Physics,John Wiley & Sons,1995,Applied Science & Engineering,Physics,H,13
1490,"Laud, B. B. ",Lasers and Non Linear Optics,"New Age International Ltd, Publication ",2008,Applied Science & Engineering,Optics,H,15
1493,"Kanetkar, Yashwant ",Let Us C,PBP Publication,2010,I T,C Programming,F,31
1523,"Budynas, Richard. G. and  Nisbett Keith. J ",Mechanical Engineering Design,Tata McGraw-Hill Education Private Limited,2008,Applied Science & Engineering,Engineering Design,H,38
1525,"Millman, Jacob and Grabel, Arvin ",Microelectronics,Tata McGraw-Hill Education Private Limited,2009,E & TC,Microelectronics,A,10
1530,"Helfrick, Albert D. and Cooper, William D.",Modern Electronic Instrumentation and Measurement Techniques,Prentice Hall of India,2010,E & TC,Instrumentation,C,14
1532,"Gayakwad, Ramakant A. ",Op Amps and Linear Integrated Circuits,Prentice Hall of India,2000,E & TC,Integrated Circuits,A,1
1537,"Gowarikar, V. R. and Vishwanath, N. V. ",Polymer Science,"New Age International Ltd, Publication ",2010,Applied Science & Engineering,Polymer Science,H,4
1577,"Keer, H. K. ",Principles of the Solid State,"New Age International Ltd, Publication ",2009,Applied Science & Engineering,Physics,H,13
1617,"Balagurusamy, E.",Programming in ANSI C,Tata McGraw-Hill Education Private Limited,2010,Computer,C Programming,E,6
1622,"Ghezzi, Carlo and Jazayeri Mehdi",Programming Language Concepts,John Wiley & Sons,1999,Computer,"Programming Language
",E,5
1627,"Meriam, J. L. and Kraige, L. G.",Engineering Mechanics : Statics : Vol – I,John Wiley & Sons,2002,Applied Science & Engineering,Engineering Mechanics,H,34
1629,"Basak, N. N.",Surveying and Levelling,Tata McGraw-Hill Education Private Limited,1994,Applied Science & Engineering,Surveying,H,1
1631,"Horowitz, Paul and Hill, Winfield",Art of Electronics,Cambridge University Press,2002,E & TC,Electronics Engineering,A,14
1661,"Kernighan, Brian W. and Ritchie, Dennis M.",C Programming Language,Prentice Hall of India,2010,Computer,C Programming,E,4
1666,"Kothari, D. P. and Nagrath, I. J.","Theory and Problems of Basic Electrical Engineering 
",Prentice Hall of India,1998,E & TC,Electrical Engineering,A,17
1680,"Cengel, Yunus and Boles, Michael A.",Thermodynamics : An Engineering Approach,Tata McGraw-Hill Education Private Limited,2008,Applied Science & Engineering,Thermodynamics,H,44
1690,"Young, Hugh D. and Freedman, Roger A.
",Sears and Zemansky's University Physics with Modern Physics,Pearson Education,2009,Applied Science & Engineering,Physics,H,13
1692,"Beer, Ferdinanad P. and Johnston, Russel E.",Vector Mechanics for Engineers Statics,Tata McGraw-Hill Education Private Limited,2011,Applied Science & Engineering,Vector Mechanics,H,37
1722,"Svehla, G.",Vogel's Qualitative Inorganic Analysis,Pearson Education,1966,Applied Science & Engineering,Chemistry,H,6
1742,"Vermani, O.P",Applied Chemistry : Theory and Practice,"New Age International Ltd, Publication",2009,Applied Science & Engineering,Chemistry,H,6
1744,"Harman, Thomas L.; Dabney, James and Richert, Norman",Advanced Engineering Mathematics with MATLAB,Caengage Learning India Pvt.Ltd,2000,Applied Science & Engineering,Mathematics,I,3
1746,"Kothari, D. P. and Nagrath, I. J.",Electric Machines,Tata McGraw-Hill Education Private Limited,2010,E & TC,Electric Machines,A,22
1748,"Guru, Bhag S. and Hiziroglu, Huseyin R.",Electric Machinery and Transformers,Oxford University Press,2007,E & TC,Electric Machines,A,22
1750,"Bhattacharya, S. K. ",Electrical Machines ,Tata McGraw-Hill Education Private Limited,2009,E & TC,Electric Machines ,A,22
001752,"Rieger, Philip H. ",Electrochemistry ,Springer Publishing Company,1994,Applied Science & Engineering,Electrochemistry ,H,7
001754,"Bobrow, Leonard S. ",Fundamentals of Electrical Engineering ,Oxford University Press ,1996,E & TC,Electrical Engineering,A,17
001756,"Willard, Hobart H. and Merritt, Lynne L. ",Instrumental Methods of Analysis ,CBS Publishers & Distributors Pvt. Ltd.,1986,E & TC,Instrumentation,C,14
001758,"Bhandari, V. B. ",Introduction to Machine Design ,Tata McGraw-Hill Education Private Limited,2001,Applied Science & Engineering,Machine Design,H,38
001760,"Serway, Raymond A. and Jewett, John W. ",Physics A Calculus Based Approach ,Cengage Learning India Pvt. Ltd. ,2007,Applied Science & Engineering,Physics,H,13
001762,"Lurie, Karen",Cracking the GRE,Random House ,2001,I.T.,Competitive Examinations,GENERAL,6
001763,"Elmasri, Ramez, and Nawathe, Shamkant",Fundamentals of Database Systems,Pearson Education,2000,Computer,Database Management,E,20
001764,"Leon, Alexis",ERP,Tata McGraw-Hill Publishing Company Limited ,2000,Management,Enterprise Resource Planning,G,4
001765,"Locker, Kitty O",Business and Administrative Communication,McGraw Hill Publishing Company Ltd ,2000,I.T.,Communication,G,9
001766,"Lewicki, Roy J. ; Saunders, David M. and Minton, John W.",Negotiation,McGraw Hill Publishing Company Ltd ,1999,Management,Management,G,1
001767,"Larson, Kermit D",Financial accounting principles,Tata McGraw-Hill Publishing Company Limited ,1997,Management,Management,G,1
001768,"Sharma, R.A ",Organisation Theory and Behaviour ,Tata McGraw-Hill Publishing Company Limited ,2000,Management,Management,G,1
001769,"Bakshi, S. P.",Objective General English for Competitive Exams,Arihant Prakashan,2000,I.T.,English,G,9
001770,"Meigs, Robert ",Financial accounting ,McGraw Hill Publishing Company Ltd ,1998,Management,Management,G,1
001771,"Tulsian,PO.C ",Fiancial Accounting for B.com ( Hons ) ,Tata McGraw-Hill Publishing Company Limited ,1999,Management,Management,G,1
001772,"Martinson, Thomos",GRE,Macmillan India Ltd.,2001,I.T.,Competitive Examinations,F,1
001773,"Martinson, Thomas",GMAT CAT,Macmillan India Ltd.,2001,I.T.,Competitive Examinations,F,1
001774,"Elmasri, Ramez, and Nawathe, Shamkant",Fundamentals of Database Systems,Pearson Education,2002,Computer,Database Management,E,20
001775,"Ghosh, T P ",Accounting Standards and Corporate Accounting Practices ,Taxmann Allied Services Pvt. Ltd.,2000,Management,Management,G,1
001776,"Jain, R. K.",Export & Import Policy & Handbook of Procedures ( 2001 Edition ) : Vol. 1,Centax Publications Pvt. Ltd,2001,I.T.,Management,G,1
001777,"Date, C.J.",Introduction to Database Systems,pearson Education,2000,Computer,Database Management,E,20
001778,"Parkinson, C Northcote",Marketing: Key to business success today,IBH Publishers Pvt. Ltd.,1983,Management,Management,G,1
001779,"McCarathy, Danial, Minichiello, Robert, and Curran, Josph",Business Policy and Strategy: Concepts and Reading,AITBS Publishers & Distributers,1996,Management,Management,G,1
001780,"Horowitz, Shel",Marketing Without Megabucks,A Fireside Book,1993,Management,Management,GENERAL,21
001781,Rupa & Co.,Managing Your Manpower,Rupa & Co.,1992,I.T.,Management,G,1
001782,"Jhamb, L.C",Text Book of Production (Operations ) Management,Everest Publishing House,1996,Management,Management,G,1
001783,"Shejwalkar, P.C ",Personal Management & Industrial Relations ,Ameya Prakashan ,1994,Management,Management,G,1
001784,"Millman, Jacob ",Integrated electronics: analog and digital circuits and systems,Tata McGraw-Hill Publishing Company Limited ,2001,E & TC,Integrated Circuits,A,1
001785,"Schuller, Robert H.","Tough Times Never Last, But tough People Do!",Bantam Books ,1983,I.T.,Management,G,1
001786,"Brownstein, Samuel C. and weiner, Mitchel",Basic Tips on the Scholastic Aptitude Test : SAT,Galgotia Publications Pvt. Ltd.,1984,I.T.,Competitive Examinations,F,1
001787,"Basu, Siddhartha",Master Mind India,Teksons Bookshop,1999,I.T.,Management,G,1
001788,Modern Publishing ,Is That Your Final Answar? ,Modern Publishing ,2000,I.T.,Competitive Examinations,F,1
001789,"Joshi, Kireet",Education for Character Development ,Dharam Hinduja International centre of Indic research,1997,I.T.,Management,G,1
001790,"Rathor, Jani,Rathor",International Marketing,Himalaya Publishing House ,1997,Management,Management,G,1
001791,"Vaswani, J. P.",Burn Anger before Anger Burns you,Gita Publishing House ,,I.T.,Self Help,G,9
001792,"Natarajan, Ganesh and Shekhar, Sandhya",Knowledge Management : Enabling Business Growth,Tata McGraw-Hill Publishing Company Limited ,2000,Management,Management,G,1
001793,"Stallings, William ",Data and Computer Communications,Pearson Education,2000,Computer,Data Communication,E,20
001794,"Bijlani, Hiru",Globalisation: An Overview,Heinemann Asia,1994,Management,Management,G,1
001795,"Eccles, Robert G. and Herz, Robert H.",ValueReporting Revolution : Moving Beyond the Earnings Game,John Wiley & Sons ,2001,I.T.,Management,G,1
001796,"Brown, Laster R",State of the World ,W.W.Norton & Compony ,1995,I.T.,Management,G,1
001797,"Macziola, sarah Jones",Getting ahead: A Communication Skills Course for Business English,Cambridge University Press ,2000,I.T.,Communication,G,9
001798,"Jones, Leo ",New International Business English,Cambridge University Press ,2000,I.T.,English,G,9
001802,"Macziola, sarah Jones",Getting ahead: A Communication Skills Course for Business English,Cambridge University Press ,2000,I.T.,English,G,9
001804,Varsha Prakashan ,Objective General English for Competitive Exams,Varsha Prakashan ,,I.T.,English,G,9
001805,"Grant, David",Business Basics,Oxford University Press ,,I.T.,Management,G,1
001806,"Grant, David",Business Basics : Workbook,Oxford University Press ,1995,I.T.,Management,G,1
001807,"Drucker, Peter F.",Managing in Turbulent Times,Harper Business,1980,I.T.,Management,G,1
001808,"Friedman, Thomas L.",Lexus and The Olive Tree,Anchor Books,2000,I.T.,Management,G,1
001809,"Cohen, Herb",You Can Negotiate Anything ,Jaico Publishing House ,2000,I.T.,Self Help,G,9
001810,"McCormack, Mark H",110 % solution,Rupa & Co.,1990,I.T.,Self Help,G,9
001811,"Gotbaum, Victor ",Negotiating in the Real World ,Fireside Book,1999,I.T.,Self Help,G,9
001812,"McCormack, Mark H",What They Still Don't Teach You at Harvard Business School ,Bantam Books ,1989,I.T.,Self Help,G,9
001813,"Rao, S. L. ",Elephants Can't Dance : Managing in a Reforming Economy ,Global Business Press ,2001,I.T.,Self Help,G,9
001814,"Hendricks, Gay and Ludeman, Kate",Corporate Mystic : A Guidebook for Visionaries with Their Feet on the Ground ,Bantam Books ,1996,I.T.,Self Help,G,9
001815,"Slater, Robert ",Jack Welch and the Ge Way : Management Insights and Leadership Secrets of the Legendary CEO,McGraw Hill Publishing Company Ltd ,1999,I.T.,Management,G,1
001816,"Welch, Jack ",Straight from the Gut ,headline ,2003,I.T.,Management,G,1
001817,"Branson, Richard",Losing My Virginity,Three Rivers Press,1998,I.T.,Management,G,1
001818,"Covey, Stephen R.","First Things First : To Live, to Love, to Learn to Leave a Legacy",Simon & Schuster ,1989,I.T.,Self Help,G,9
001819,Choudhury S.,Project Management ,Tata McGraw-Hill Publishing Company Limited ,2002,Management,Project management,G,4
001820,"Atkinson, Anthony A.; Banker, Rajiv D. and Kaplan, Robert S.",Management Accounting,Pearson Education,2001,Management,Management,G,1
001821,"Schultheis, Robert; sumner, Mary",Management Information system,Tata McGraw-Hill Publishing Company Limited ,2002,I.T.,Management Information System,G,1
001822,"Anahory, Sam and Murray, Dennis",Data Warehousing in the Real World,Pearson Education,1997,I.T.,Data Warehousing,G,28
001823,Hill Associates ,Telecommunications : A Beginners Guide ,Tata McGraw-Hill Publishing Company Limited ,2002,E & TC,Telecommunication,B,19
001824,"Mattison, Rob",Web Warehousing and Knowledge Management ,Tata McGraw-Hill Publishing Company Limited ,1999,I.T.,Data Warehousing,G,28
001825,"Petersen, H Craig and Lewis, W Cris",Managerial Economics ,Pearson Education,1999,Management,Management,G,1
001826,"Newstrom, John W ",Organization Behavior : Human Behavior at Work ,McGraw Hill Publishing Company Ltd ,2002,Management,Management,G,1
001827,"Gates, Bill",Business @ The Speed of Thought,Penguin Books ,1999,Management,Management,G,1
001828,"Cooper,Donald R.",Business Research Methods ,Tata McGraw-Hill Publishing Company Limited,1999,Management,Research Methodology,G,
001829,"Christopher, Elizabeth M.",Leadership Training : A Sourcebook of Activities,Viva Books Pvt. Ltd.,1996,Management,Management,G,1
001830,"Krajewski, Lee J. and Ritzman, Larry P.",Operations Management: Strategy and Analysis,Pearson Education,2002,Management,Management,G,1
001831,Government of India,Economic Survey : 2002-2003,Government of India Press,2002,Management,Management,G,1
001832,"Kimball, Ralph ",Data Warehouse Toolkit ,John Wiley & Sons ,2002,I.T.,Data Warehousing,G,28
001835,"Anahory, Sam and Murray, Dennis",Data Warehousing in the Real World,Pearson Education,1997,I.T.,Data Warehousing,G,28
001838,"Schuller, Robert A.",Dump Your hang Ups,Orient Paper Back,1993,I.T.,Management,G,1
001839,"Murray, Angela ",Business Presentations ,Teach Yourself books ,1999,I.T.,Management,G,1
001840,"Smith, Perry M. ",Rules & Tools for Leaders ,Magna Publishing Co Ltd.,1998,Management,Management,G,1
001841,"Bhall, V. K .",Management of Financial Services ,Anmol Publications Pvt. Ltd.,2002,Management,Management,G,1
001842,"Bourne, Mike",Change Management : in a week,Hodder & Stoughton ,2002,Management,Management,G,1
001843,"Ashton, Robert",Achieving Business Alchemy in a Week,Hodder & Stoughton ,2002,Management,Management,G,1
001844,"Chaudhuri, Arindam",Count Your Chickens Before They Hatch,Vikas Publishing House Pvt Ltd.,2002,I.T.,Self Help,G,9
001845,"Laudon,Kenneth C.",Management Information Systems: Managing the Digital Firm,Pearson Education,2002,I.T.,Management Information System,G,1
001846,"Madhurkar, R.K ",Business Communication and Consumer Relations ,Vikas Publishing House Pvt Ltd.,2002,Management,Communication,G,9
001847,"Maylor, harvey ",Project Management ,Pearson Education,1999,Management,Project management,G,4
001848,"Lulla, Suresh",Executive Handbook Worldclass Quality,Tata McGraw-Hill Publishing Company Limited ,2003,I.T.,Management,G,1
001849,"Anthony, Robert; Govindrajan, Vijay",Management control System,Tata McGraw-Hill Publishing Company Limited ,2002,I.T.,Management,G,1
001850,"Robbins, Stephen P.",Management,Prentice Hall of India ,2002,Management,Management,G,1
001851,"Stevens, W. Richard",Unix Network Programming : Vol - 1,Pearson Education,1999,Computer,Operating system,E,20
001852,"Ghemawat, Pankaj",Strategy and the Business Landscape: Text and Cases,Addison Wesley Longman,2000,Management,Management,G,1
001853,"Jawadekar,W. S.",Management Information System,Tata McGraw-Hill Publishing Company Limited ,2002,I.T.,Management Information System,G,1
001854,"Kothari, R.N ",Glossary for the Business terms ,Asian Books Pvt Ltd ,2002,Management,Management,G,1
001855,"Scott, Bill",Skills of Communicating,Jaico Publishing House ,2002,I.T.,Communication,G,9
001856,"Ohmae, Kenichi ",Mind of the Strategist : The Art of Japanese Business ,Tata McGraw-Hill Publishing Company Limited ,2002,Management,Management,G,1
001857,"Sharma, Radha",360 Degree Feedback. Competancy mapping and assesment centers,Tata McGraw-Hill Publishing Company Limited ,2002,I.T.,Management,G,9
001858,IINB ,Bank Credit Card Business ,Macmillan India Ltd.,1999,Management,Management,G,1
001859,"Blanchard, ken ",Heart of a Leader ,Magna Publishing Co Ltd.,Jun-05,I.T.,Management,G,9
001860,"Deresky,Helen",International Management:managing across borders and cultures,Prentice Hall of India,2002,Management,Management,G,1
001861,"Decenzo, David A ",Human resource Management ,John Wiley & Sons ,2001,Management,Management,G,1
001862,"Ramaswamy, V.S ","Marketing management : Control, Implementation & Control ",Macmillan India Ltd.,2002,Management,Management,G,1
001863,"Tripathi, P C ",Principle of Management ,Tata McGraw-Hill Publishing Company Limited ,2002,Management,Management,G,1
001864,"Ludlow, Ron ",Essence of Effective Communication ,Prentice Hall of India ,2002,I.T.,Communication,G,9
001865,"Jhamb, L.C",Quantitative Techniques for Managerial Decisions Vol - 1,Everest Publishing House,2001,Management,Quantitative Techniques,G,1
001866,"Inamdar,S.M.",Cost accounting and Management accounting,Everest Publishing House,2001,Management,Management,G,1
001867,"Vohra, N.D ",Quantitive Technologies in Management ,Tata McGraw-Hill Publishing Company Limited ,2001,Management,Management,G,1
001868,"Chandra, Prasanna",Financial Management: Theory and Practice,Tata McGraw-Hill Publishing Company Limited ,2001,Management,Management,G,1
001869,"Gupta, G S",Managerial Economics ,Tata McGraw-Hill Publishing Company Limited ,1990,Management,Management,G,1
001870,"Turner, Marcia Layton",How to Think Like The World Greatest Marketing Minds,Tata McGraw-Hill Publishing Company Limited ,2003,I.T.,Self Help,G,9
001871,"Danniels, John and Radebaugh, lee",Globalization and Business,Eastern Economy Edition,2002,Management,Management,G,1
001872,"Watson, Denzil ",Corporate Finance : Principle & Practice ,Pearson Education,2001,Management,Management,G,1
001873,"Drucker, Peter F",New Realities ,Butterworth - Heinemann  ,1994,I.T.,Management,G,9
001874,"Chopra, Deeptio ",Cyber Cops Cyber Criminals and the Internet ,I.K.International ,2002,I.T.,Management,G,9
001875,"Jha,Aruna",Taxmann student's guide to Auditing,Taxmann Allied Services Pvt. Ltd.,2002,Management,Management,G,1
001876,"Viswanathan, R ",Industrial Finance ,Macmillan India Ltd.,2003,Management,Management,G,1
001877,"Day, Alastaieir ",Mastering Financial Modelling ,Pearson Education,2003,Management,Management,G,1
001878,"Abel, Andrew B and Bernanke, Ben S. ",Macroeconomics ,Pearson Education,2001,Management,Management,G,1
001879,The Institute of Chartered Accountants of India ,Compendium of Accounting Standards ,The Institute of Chartered Accountants of India ,2002,Management,Management,G,1
001880,"Foster, Richard",Creative Destruction,A Currency Book,2001,I.T.,Management,G,9
001881,"Ghoshal, Sumantra",World Class in India : A Casebook of Companies in Transformation,Penguin Books ,2001,I.T.,Management,G,9
001882,"Aaker, David A.",Brand Leadership,Free Press,2002,Management,Management,G,1
001883,"Peters, Thomas J.",In Search of Excellence ,Warner Books,1982,I.T.,Management,G,9
001884,"Hiebeler, Robert ",Best Practices : Building Your Business with Customer Focused Solutions ,Simon & Schuster ,1998,I.T.,Management,G,9
001885,"Peters, Tom ",Pursuit of Wow !,Vintage Books ,1994,I.T.,Management,G,9
001886,"Micklethwait, John ",Future Perfect : The Challenge and Hidden Promise of Globalization,Crown Business ,2000,I.T.,Management,G,9
001887,"Archer, Jeffrey ","Not a Penny More , Not a Panny Less ",Coronet Books ,1978,I.T.,Management,G,9
001888,"Mattison, Rob",Web Warehousing and Knowledge Management,Tata McGraw-Hill Publishing Company Limited ,1999,I.T.,Data Warehousing,G,28
001889,"Bovey, Darrel Bristow",I Moved Your Cheese,New Holland Publishers (UK) Ltd.,2002,I.T.,Self Help,G,9
001890,"Rustumaji, M K ",Excellence in Management ,India Boos House ,1978,Management,Management,G,1
001891,"Peter, Laurence J and Hull, Raymond",Peter Pricniple ,Pan Books Ltd.,1969,Management,Management,G,1
001892,"Pascale, Richard Tanner",Art of Japanese Management : Applications for American Executives ,Warner Books,1981,Management,Management,G,1
001893,"Shukla, M C ",Advanced Accounting ,S. Chand & Company Ltd.,1971,Management,Management,G,1
001894,"Keogh, Iim ",Essential Guide to Networking ,Prentice Hall PTR ,2001,E & TC,Networking,C,9
